CurrentTime,RealGazePos_x,RealGazePos_y,RealGazePos_z
0.008657455,4.530249,2.000682,-35.91768
0.01865768,4.564307,2.012057,-35.91782
0.02865696,4.564307,2.012057,-35.91782
0.03865719,4.564307,2.012057,-35.91782
0.04865742,4.56919,2.038658,-35.91693
0.05865765,4.56919,2.038658,-35.91693
0.06865692,4.56919,2.038658,-35.91693
0.07865715,4.574805,2.044401,-35.91688
0.08865738,4.574805,2.044401,-35.91688
0.09865761,4.574805,2.044401,-35.91688
0.1086569,4.574805,2.044401,-35.91688
0.1186571,4.614844,2.05165,-35.91761
0.1286573,4.614844,2.05165,-35.91761
0.1386576,4.614844,2.05165,-35.91761
0.1486568,4.70542,2.125521,-35.91844
0.1586571,4.70542,2.125521,-35.91844
0.1686573,4.70542,2.125521,-35.91844
0.1786575,4.70542,2.125521,-35.91844
0.1886578,4.70542,2.125521,-35.91844
0.198657,4.70542,2.125521,-35.91844
0.2086573,4.70542,2.125521,-35.91844
0.2186575,4.70542,2.125521,-35.91844
0.2286577,4.70542,2.125521,-35.91844
0.238657,4.70542,2.125521,-35.91844
0.2486572,4.70542,2.125521,-35.91844
0.2586575,4.70542,2.125521,-35.91844
0.2686577,4.70542,2.125521,-35.91844
0.278657,4.70542,2.125521,-35.91844
0.2886572,4.70542,2.125521,-35.91844
0.2986574,4.70542,2.125521,-35.91844
0.3086576,4.70542,2.125521,-35.91844
0.3186569,4.70542,2.125521,-35.91844
0.3286572,4.70542,2.125521,-35.91844
0.3386574,4.70542,2.125521,-35.91844
0.3486576,4.70542,2.125521,-35.91844
0.3586569,4.70542,2.125521,-35.91844
0.3686571,4.70542,2.125521,-35.91844
0.3786573,4.70542,2.125521,-35.91844
0.3886576,4.70542,2.125521,-35.91844
0.3986568,4.70542,2.125521,-35.91844
0.4086571,4.70542,2.125521,-35.91844
0.4186573,4.70542,2.125521,-35.91844
0.4286575,4.70542,2.125521,-35.91844
0.4386578,4.70542,2.125521,-35.91844
0.448657,4.10874,0.9514651,-36.03422
0.4586573,4.10874,0.9514651,-36.03422
0.4686575,4.10874,0.9514651,-36.03422
0.4786577,4.134741,1.09043,-36.0103
0.488657,4.134741,1.09043,-36.0103
0.4986572,4.134741,1.09043,-36.0103
0.5086575,4.134741,1.09043,-36.0103
0.5186577,4.235571,0.9671516,-36.02791
0.528657,4.235571,0.9671516,-36.02791
0.5386572,4.235571,0.9671516,-36.02791
0.5486574,4.285986,1.032907,-36.01596
0.5586576,4.285986,1.032907,-36.01596
0.5686569,4.285986,1.032907,-36.01596
0.5786572,4.285986,1.032907,-36.01596
0.5886574,4.285986,1.032907,-36.01596
0.5986576,4.285986,1.032907,-36.01596
0.6086569,4.285986,1.032907,-36.01596
0.6186571,4.285986,1.032907,-36.01596
0.6286573,4.285986,1.032907,-36.01596
0.6386576,4.285986,1.032907,-36.01596
0.6486568,4.285986,1.032907,-36.01596
0.6586571,4.285986,1.032907,-36.01596
0.6686573,4.285986,1.032907,-36.01596
0.6786575,4.285986,1.032907,-36.01596
0.6886578,4.285986,1.032907,-36.01596
0.698657,4.285986,1.032907,-36.01596
0.7086573,4.285986,1.032907,-36.01596
0.7186575,4.285986,1.032907,-36.01596
0.7286577,4.285986,1.032907,-36.01596
0.738657,4.285986,1.032907,-36.01596
0.7486572,4.285986,1.032907,-36.01596
0.7586575,4.285986,1.032907,-36.01596
0.7686577,4.285986,1.032907,-36.01596
0.778657,4.285986,1.032907,-36.01596
0.7886572,4.285986,1.032907,-36.01596
0.7986574,4.285986,1.032907,-36.01596
0.8086576,4.285986,1.032907,-36.01596
0.8186569,4.285986,1.032907,-36.01596
0.8286572,4.285986,1.032907,-36.01596
0.8386574,4.285986,1.032907,-36.01596
0.8486576,5.035742,1.017938,-36.04325
0.8586569,5.035742,1.017938,-36.04325
0.8686571,5.035742,1.017938,-36.04325
0.8786573,4.881201,1.012648,-36.03314
0.8886576,4.881201,1.012648,-36.03314
0.8986568,4.881201,1.012648,-36.03314
0.9086571,4.881201,1.012648,-36.03314
0.9186573,4.788916,1.075294,-36.0178
0.9286575,4.788916,1.075294,-36.0178
0.9386578,4.726416,1.032965,-36.02182
0.948657,4.726416,1.032965,-36.02182
0.9586573,4.590308,1.008983,-36.02135
0.9686575,4.590308,1.008983,-36.02135
0.9786577,4.590308,1.008983,-36.02135
0.988657,4.492896,1.032528,-36.01573
0.9986572,4.492896,1.032528,-36.01573
1.008657,4.531592,1.051342,-36.01317
1.018658,4.531592,1.051342,-36.01317
1.028657,4.531592,1.051342,-36.01317
1.038657,5.628882,1.171297,-36.08973
1.048657,5.628882,1.171297,-36.08973
1.058658,7.102759,1.52904,-36.42266
1.068657,7.102759,1.52904,-36.42266
1.078657,7.102759,1.52904,-36.42266
1.088657,7.082739,1.492447,-36.41942
1.098658,7.082739,1.492447,-36.41942
1.108657,6.880713,1.339715,-36.36852
1.118657,6.880713,1.339715,-36.36852
1.128657,6.880713,1.339715,-36.36852
1.138658,6.876196,1.389182,-36.36071
1.148657,6.876196,1.389182,-36.36071
1.158657,6.849707,1.401857,-36.35052
1.168657,6.849707,1.401857,-36.35052
1.178658,6.725195,0.9890121,-36.37295
1.188658,6.725195,0.9890121,-36.37295
1.198657,6.725195,0.9890121,-36.37295
1.208657,6.725195,0.9890121,-36.37295
1.218657,6.725195,0.9890121,-36.37295
1.228658,6.725195,0.9890121,-36.37295
1.238657,6.725195,0.9890121,-36.37295
1.248657,6.725195,0.9890121,-36.37295
1.258657,6.725195,0.9890121,-36.37295
