CurrentTime,HeadRot_x,HeadRot_y,HeadRot_z
0.008657455,2.958,0,0
0.01865768,2.958,0,0
0.02865696,2.958,0,0
0.03865719,2.958,0,0
0.04865742,2.958,0,0
0.05865765,2.958,0,0
0.06865692,2.958,0,0
0.07865715,2.958,0,0
0.08865738,2.958,0,0
0.09865761,2.958,0,0
0.1086569,2.958,0,0
0.1186571,2.958,0,0
0.1286573,2.958,0,0
0.1386576,2.958,0,0
0.1486568,2.958,0,0
0.1586571,2.958,0,0
0.1686573,2.958,0,0
0.1786575,2.958,0,0
0.1886578,2.958,0,0
0.198657,2.958,0,0
0.2086573,2.958,0,0
0.2186575,2.958,0,0
0.2286577,2.958,0,0
0.238657,2.958,0,0
0.2486572,2.958,0,0
0.2586575,2.958,0,0
0.2686577,2.958,0,0
0.278657,2.958,0,0
0.2886572,2.958,0,0
0.2986574,2.958,0,0
0.3086576,2.958,0,0
0.3186569,2.958,0,0
0.3286572,2.958,0,0
0.3386574,2.958,0,0
0.3486576,2.958,0,0
0.3586569,2.958,0,0
0.3686571,2.958,0,0
0.3786573,2.958,0,0
0.3886576,2.958,0,0
0.3986568,2.958,0,0
0.4086571,2.958,0,0
0.4186573,2.958,0,0
0.4286575,2.958,0,0
0.4386578,2.958,0,0
0.448657,2.958,0,0
0.4586573,2.958,0,0
0.4686575,2.958,0,0
0.4786577,2.958,0,0
0.488657,2.958,0,0
0.4986572,2.958,0,0
0.5086575,2.958,0,0
0.5186577,2.958,0,0
0.528657,2.958,0,0
0.5386572,2.958,0,0
0.5486574,2.958,0,0
0.5586576,2.958,0,0
0.5686569,2.958,0,0
0.5786572,2.958,0,0
0.5886574,2.958,0,0
0.5986576,2.958,0,0
0.6086569,2.958,0,0
0.6186571,2.958,0,0
0.6286573,2.958,0,0
0.6386576,2.958,0,0
0.6486568,2.958,0,0
0.6586571,2.958,0,0
0.6686573,2.958,0,0
0.6786575,2.958,0,0
0.6886578,2.958,0,0
0.698657,2.958,0,0
0.7086573,2.958,0,0
0.7186575,2.958,0,0
0.7286577,2.958,0,0
0.738657,2.958,0,0
0.7486572,2.958,0,0
0.7586575,2.958,0,0
0.7686577,2.958,0,0
0.778657,2.958,0,0
0.7886572,2.958,0,0
0.7986574,2.958,0,0
0.8086576,2.958,0,0
0.8186569,2.958,0,0
0.8286572,2.958,0,0
0.8386574,2.958,0,0
0.8486576,2.958,0,0
0.8586569,2.958,0,0
0.8686571,2.958,0,0
0.8786573,2.958,0,0
0.8886576,2.958,0,0
0.8986568,2.958,0,0
0.9086571,2.958,0,0
0.9186573,2.958,0,0
0.9286575,2.958,0,0
0.9386578,2.958,0,0
0.948657,2.958,0,0
0.9586573,2.958,0,0
0.9686575,2.958,0,0
0.9786577,2.958,0,0
0.988657,2.958,0,0
0.9986572,2.958,0,0
1.008657,2.958,0,0
1.018658,2.958,0,0
1.028657,2.958,0,0
1.038657,2.958,0,0
1.048657,2.958,0,0
1.058658,2.958,0,0
1.068657,2.958,0,0
1.078657,2.958,0,0
1.088657,2.958,0,0
1.098658,2.958,0,0
1.108657,2.958,0,0
1.118657,2.958,0,0
1.128657,2.958,0,0
1.138658,2.958,0,0
1.148657,2.958,0,0
1.158657,2.958,0,0
1.168657,2.958,0,0
1.178658,2.958,0,0
1.188658,2.958,0,0
1.198657,2.958,0,0
1.208657,2.958,0,0
1.218657,2.958,0,0
1.228658,2.958,0,0
1.238657,2.958,0,0
1.248657,2.958,0,0
1.258657,2.958,0,0
1.268658,2.958,0,0
1.278657,2.958,0,0
1.288657,2.958,0,0
1.298657,2.958,0,0
1.308658,2.958,0,0
1.318657,2.958,0,0
1.328657,2.958,0,0
1.338657,2.958,0,0
1.348658,2.958,0,0
1.358657,2.958,0,0
1.368657,2.958,0,0
1.378657,2.958,0,0
1.388658,2.958,0,0
1.398657,2.958,0,0
1.408657,2.958,0,0
1.418657,2.958,0,0
1.428658,2.958,0,0
1.438658,2.958,0,0
1.448657,2.958,0,0
1.458657,2.958,0,0
1.468657,2.958,0,0
1.478658,2.958,0,0
1.488657,2.958,0,0
1.498657,2.958,0,0
1.508657,2.958,0,0
1.518658,2.958,0,0
1.528657,2.958,0,0
1.538657,2.958,0,0
1.548657,2.958,0,0
1.558658,2.958,0,0
1.568657,2.958,0,0
1.578657,2.958,0,0
1.588657,2.958,0,0
1.598658,2.958,0,0
1.608657,2.958,0,0
1.618657,2.958,0,0
1.628657,2.958,0,0
1.638658,2.958,0,0
1.648657,2.958,0,0
1.658657,2.958,0,0
1.668657,2.958,0,0
1.678658,2.958,0,0
1.688657,2.958,0,0
1.698657,2.958,0,0
1.708657,2.958,0,0
1.718657,2.958,0,0
1.728658,2.958,0,0
1.738657,2.958,0,0
1.748657,2.958,0,0
1.758657,2.958,0,0
1.768658,2.958,0,0
1.778657,2.958,0,0
1.788657,2.958,0,0
1.798657,2.958,0,0
1.808658,2.958,0,0
1.818657,2.958,0,0
1.828657,2.958,0,0
1.838657,2.958,0,0
1.848658,2.958,0,0
1.858657,2.958,0,0
1.868657,2.958,0,0
1.878657,2.958,0,0
1.888658,2.958,0,0
1.898657,2.958,0,0
1.908657,2.958,0,0
1.918657,2.958,0,0
1.928658,2.958,0,0
1.938657,2.958,0,0
1.948657,2.958,0,0
1.958657,2.958,0,0
1.968657,2.958,0,0
1.978658,2.958,0,0
1.988657,2.958,0,0
1.998657,2.958,0,0
2.008657,2.958,0,0
2.018658,2.958,0,0
2.028657,2.958,0,0
2.038657,2.958,0,0
2.048657,2.958,0,0
2.058658,2.958,0,0
2.068657,2.958,0,0
2.078657,2.958,0,0
2.088657,2.958,0,0
2.098658,2.958,0,0
2.108657,2.958,0,0
2.118657,2.958,0,0
2.128657,2.958,0,0
2.138658,2.958,0,0
2.148657,2.958,0,0
2.158657,2.958,0,0
2.168657,2.958,0,0
2.178658,2.958,0,0
2.188657,2.958,0,0
2.198657,2.958,0,0
2.208657,2.958,0,0
2.218657,2.958,0,0
2.228658,2.958,0,0
2.238657,2.958,0,0
2.248657,2.958,0,0
2.258657,2.958,0,0
2.268658,2.958,0,0
2.278657,2.958,0,0
2.288657,2.958,0,0
2.298657,2.958,0,0
2.308658,2.958,0,0
2.318657,2.958,0,0
2.328657,2.958,0,0
2.338657,2.958,0,0
2.348658,2.958,0,0
2.358657,2.958,0,0
2.368657,2.958,0,0
2.378657,2.958,0,0
2.388658,2.958,0,0
2.398657,2.958,0,0
2.408657,2.958,0,0
2.418657,2.958,0,0
2.428658,2.958,0,0
2.438657,2.958,0,0
2.448657,2.958,0,0
2.458657,2.958,0,0
2.468657,2.958,0,0
2.478658,2.958,0,0
2.488657,2.958,0,0
2.498657,2.958,0,0
2.508657,2.958,0,0
2.518658,2.958,0,0
2.528657,2.958,0,0
2.538657,2.958,0,0
2.548657,2.958,0,0
2.558658,2.958,0,0
2.568657,2.958,0,0
2.578657,2.958,0,0
2.588657,2.958,0,0
