CurrentTime,GazePos_x,GazePos_y
0.008657455,0.5063342,0.4961233
0.01865768,0.5079913,0.4956256
0.02865696,0.5079913,0.4956256
0.03865719,0.5079913,0.4956256
0.04865742,0.5082293,0.4944595
0.05865765,0.5082293,0.4944595
0.06865692,0.5082293,0.4944595
0.07865715,0.5085027,0.494208
0.08865738,0.5085027,0.494208
0.09865761,0.5085027,0.494208
0.1086569,0.5085027,0.494208
0.1186571,0.5104516,0.4938916
0.1286573,0.5104516,0.4938916
0.1386576,0.5104516,0.4938916
0.1486568,0.5148665,0.4906554
0.1586571,0.5148665,0.4906554
0.1686573,0.5148665,0.4906554
0.1786575,0.5148665,0.4906554
0.1886578,0.5148665,0.4906554
0.198657,0.5148665,0.4906554
0.2086573,0.5148665,0.4906554
0.2186575,0.5148665,0.4906554
0.2286577,0.5148665,0.4906554
0.238657,0.5148665,0.4906554
0.2486572,0.5148665,0.4906554
0.2586575,0.5148665,0.4906554
0.2686577,0.5148665,0.4906554
0.278657,0.5148665,0.4906554
0.2886572,0.5148665,0.4906554
0.2986574,0.5148665,0.4906554
0.3086576,0.5148665,0.4906554
0.3186569,0.5148665,0.4906554
0.3286572,0.5148665,0.4906554
0.3386574,0.5148665,0.4906554
0.3486576,0.5148665,0.4906554
0.3586569,0.5148665,0.4906554
0.3686571,0.5148665,0.4906554
0.3786573,0.5148665,0.4906554
0.3886576,0.5148665,0.4906554
0.3986568,0.5148665,0.4906554
0.4086571,0.5148665,0.4906554
0.4186573,0.5148665,0.4906554
0.4286575,0.5148665,0.4906554
0.4386578,0.5148665,0.4906554
0.448657,0.4857244,0.5426176
0.4586573,0.4857244,0.5426176
0.4686575,0.4857244,0.5426176
0.4786577,0.487026,0.5363596
0.488657,0.487026,0.5363596
0.4986572,0.487026,0.5363596
0.5086575,0.487026,0.5363596
0.5186577,0.4919464,0.5418825
0.528657,0.4919464,0.5418825
0.5386572,0.4919464,0.5418825
0.5486574,0.4944217,0.5389163
0.5586576,0.4944217,0.5389163
0.5686569,0.4944217,0.5389163
0.5786572,0.4944217,0.5389163
0.5886574,0.4944217,0.5389163
0.5986576,0.4944217,0.5389163
0.6086569,0.4944217,0.5389163
0.6186571,0.4944217,0.5389163
0.6286573,0.4944217,0.5389163
0.6386576,0.4944217,0.5389163
0.6486568,0.4944217,0.5389163
0.6586571,0.4944217,0.5389163
0.6686573,0.4944217,0.5389163
0.6786575,0.4944217,0.5389163
0.6886578,0.4944217,0.5389163
0.698657,0.4944217,0.5389163
0.7086573,0.4944217,0.5389163
0.7186575,0.4944217,0.5389163
0.7286577,0.4944217,0.5389163
0.738657,0.4944217,0.5389163
0.7486572,0.4944217,0.5389163
0.7586575,0.4944217,0.5389163
0.7686577,0.4944217,0.5389163
0.778657,0.4944217,0.5389163
0.7886572,0.4944217,0.5389163
0.7986574,0.4944217,0.5389163
0.8086576,0.4944217,0.5389163
0.8186569,0.4944217,0.5389163
0.8286572,0.4944217,0.5389163
0.8386574,0.4944217,0.5389163
0.8486576,0.5312089,0.5397698
0.8586569,0.5312089,0.5397698
0.8686571,0.5312089,0.5397698
0.8786573,0.5235915,0.5399278
0.8886576,0.5235915,0.5399278
0.8986568,0.5235915,0.5399278
0.9086571,0.5235915,0.5399278
0.9186573,0.519038,0.5370737
0.9286575,0.519038,0.5370737
0.9386578,0.5159823,0.5389557
0.948657,0.5159823,0.5389557
0.9586573,0.509316,0.5400025
0.9686575,0.509316,0.5400025
0.9786577,0.509316,0.5400025
0.988657,0.5045449,0.5389314
0.9986572,0.5045449,0.5389314
1.008657,0.5064369,0.5380901
1.018658,0.5064369,0.5380901
1.028657,0.5064369,0.5380901
1.038657,0.5607428,0.5333321
1.048657,0.5607428,0.5333321
1.058658,0.6398315,0.5190396
1.068657,0.6398315,0.5190396
1.078657,0.6398315,0.5190396
1.088657,0.6387012,0.5207208
1.098658,0.6387012,0.5207208
1.108657,0.6272629,0.527487
1.118657,0.6272629,0.527487
1.128657,0.6272629,0.527487
1.138658,0.6269439,0.5251683
1.148657,0.6269439,0.5251683
1.158657,0.6254281,0.5245287
1.168657,0.6254281,0.5245287
1.178658,0.6190701,0.5436027
1.188658,0.6190701,0.5436027
1.198657,0.6190701,0.5436027
1.208657,0.6190701,0.5436027
1.218657,0.6190701,0.5436027
1.228658,0.6190701,0.5436027
1.238657,0.6190701,0.5436027
1.248657,0.6190701,0.5436027
1.258657,0.6190701,0.5436027
1.268658,0.6190701,0.5436027
1.278657,0.6190701,0.5436027
1.288657,0.6190701,0.5436027
1.298657,0.6190701,0.5436027
1.308658,0.6190701,0.5436027
1.318657,0.6190701,0.5436027
1.328657,0.6190701,0.5436027
1.338657,0.6190701,0.5436027
1.348658,0.6190701,0.5436027
1.358657,0.6190701,0.5436027
1.368657,0.6190701,0.5436027
1.378657,0.6190701,0.5436027
1.388658,0.6190701,0.5436027
1.398657,0.6190701,0.5436027
1.408657,0.6190701,0.5436027
1.418657,0.6190701,0.5436027
1.428658,0.6190701,0.5436027
1.438658,0.4558439,0.5488713
1.448657,0.4558439,0.5488713
1.458657,0.4558439,0.5488713
1.468657,0.4556268,0.546182
1.478658,0.4556268,0.546182
1.488657,0.4556268,0.546182
1.498657,0.4556268,0.546182
1.508657,0.4651551,0.5491682
1.518658,0.4651551,0.5491682
1.528657,0.4651551,0.5491682
1.538657,0.462199,0.5578525
1.548657,0.462199,0.5578525
1.558658,0.462199,0.5578525
1.568657,0.4621619,0.5589163
1.578657,0.4621619,0.5589163
1.588657,0.4621619,0.5589163
1.598658,0.4697072,0.560748
1.608657,0.4697072,0.560748
1.618657,0.4697072,0.560748
1.628657,0.4697072,0.560748
1.638658,0.4727892,0.5675635
1.648657,0.4727892,0.5675635
1.658657,0.4727892,0.5675635
1.668657,0.5326023,0.5553808
1.678658,0.5326023,0.5553808
1.688657,0.5326023,0.5553808
1.698657,0.5289822,0.5549344
1.708657,0.5289822,0.5549344
1.718657,0.5289822,0.5549344
1.728658,0.5289822,0.5549344
1.738657,0.5366191,0.5541565
1.748657,0.5366191,0.5541565
1.758657,0.5366191,0.5541565
1.768658,0.532465,0.5525069
1.778657,0.532465,0.5525069
1.788657,0.532465,0.5525069
1.798657,0.5349645,0.5499215
1.808658,0.5349645,0.5499215
1.818657,0.5349645,0.5499215
1.828657,0.5349645,0.5499215
1.838657,0.5658995,0.5518886
1.848658,0.5658995,0.5518886
1.858657,0.5658995,0.5518886
1.868657,0.6201643,0.5484202
1.878657,0.6201643,0.5484202
1.888658,0.6201643,0.5484202
1.898657,0.6201643,0.5484202
1.908657,0.6211315,0.5499789
1.918657,0.6211315,0.5499789
1.928658,0.6211315,0.5499789
1.938657,0.6172175,0.5485128
1.948657,0.6172175,0.5485128
1.958657,0.6172175,0.5485128
1.968657,0.6137246,0.5455624
1.978658,0.6137246,0.5455624
1.988657,0.6137246,0.5455624
1.998657,0.6137246,0.5455624
2.008657,0.6070184,0.5442399
2.018658,0.6070184,0.5442399
2.028657,0.6070184,0.5442399
2.038657,0.6058016,0.5441194
2.048657,0.6058016,0.5441194
2.058658,0.6058016,0.5441194
2.068657,0.5934244,0.542806
2.078657,0.5934244,0.542806
2.088657,0.5934244,0.542806
2.098658,0.5934244,0.542806
2.108657,0.5898541,0.5401995
