TargetNum,Accuracy
1,1
2,1
3,1
4,1
5,0.8
6,0.8333333
7,0.7142857
8,0.75
9,0.6666667
10,0.7
11,0.6363636
12,0.5833333
13,0.6153846
14,0.6428571
15,0.6
16,0.625
17,0.6470588
18,0.6666667
19,0.6315789
20,0.6
21,0.6190476
22,0.5909091
23,0.6086956
24,0.5833333
25,0.56
26,0.5769231
27,0.5925926
28,0.5714286
29,0.5862069
30,0.6
31,0.5806451
32,0.59375
33,0.5757576
34,0.5588235
35,0.5714286
36,0.5555556
37,0.5675676
38,0.5789474
39,0.5641026
40,0.55
41,0.5609756
42,0.547619
43,0.5581396
44,0.5454546
45,0.5555556
46,0.5434783
47,0.5531915
48,0.5625
49,0.5714286
50,0.56
51,0.5490196
52,0.5576923
53,0.5660377
54,0.5740741
55,0.5818182
56,0.5714286
57,0.5614035
58,0.5689655
59,0.5593221
60,0.55
61,0.5409836
62,0.5483871
63,0.5555556
64,0.546875
65,0.5384616
66,0.5454546
67,0.5373135
68,0.5441176
69,0.5507246
70,0.5428572
71,0.5352113
72,0.5416667
73,0.5479452
74,0.5540541
75,0.56
76,0.5657895
77,0.5584416
78,0.5641026
79,0.556962
80,0.55
81,0.5432099
82,0.5487805
83,0.5421687
84,0.5357143
85,0.5411765
86,0.5465117
87,0.5517241
88,0.5568182
89,0.5505618
