TargetNum,Accuracy
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,0.9473684
20,0.95
21,0.952381
22,0.9545454
23,0.9565217
24,0.9583333
25,0.96
26,0.9615384
27,0.962963
28,0.9642857
29,0.9655172
30,0.9666666
31,0.9677419
32,0.96875
33,0.969697
34,0.9705882
35,0.9428571
36,0.9444444
37,0.9459459
38,0.9473684
39,0.9230769
40,0.925
41,0.9268293
42,0.9285714
43,0.9302326
44,0.9318182
45,0.9333333
46,0.9347826
47,0.9361702
48,0.9375
49,0.9387755
50,0.94
51,0.9411765
52,0.9423077
